-1.770191	-0.66833	-1.210489	0.113391	0.855491	0.749502
-1.768606	-0.597303	-1.20543	0.099842	0.810542	0.704708
-1.766668	-0.524283	-1.196352	0.089488	0.767233	0.673189
-1.765137	-0.448284	-1.1876	0.08726	0.727342	0.65462
-1.762297	-0.370281	-1.182468	0.091315	0.690146	0.631798
-1.753266	-0.292151	-1.169102	0.091872	0.65192	0.586343
-1.735971	-0.213435	-1.136867	0.084059	0.609085	0.51794
-1.711451	-0.132059	-1.099665	0.075072	0.561797	0.44566
-1.67924	-0.048689	-1.077368	0.074812	0.512561	0.388103
-1.63997	0.034014	-1.07385	0.084695	0.460627	0.343569
-1.598535	0.114879	-1.087888	0.099776	0.402931	0.297983
-1.56032	0.194022	-1.109362	0.116187	0.340232	0.246668
-1.527044	0.272063	-1.106338	0.133142	0.27578	0.195899
-1.495573	0.350379	-1.05061	0.15147	0.209328	0.149172
-1.458851	0.429596	-0.947792	0.17275	0.139535	0.102984
-1.410686	0.508401	-0.83375	0.199424	0.069569	0.052962
-1.350333	0.585205	-0.746237	0.231367	0.003047	-0.001909
-1.280837	0.659465	-0.690889	0.263239	-0.061971	-0.06075
-1.207268	0.731297	-0.643187	0.290128	-0.130189	-0.122889
-1.136462	0.801692	-0.58421	0.311217	-0.202743	-0.183547
-1.07163	0.87237	-0.516187	0.327385	-0.275117	-0.234895
-1.009185	0.94301	-0.45388	0.341325	-0.340976	-0.281488
-0.944458	1.009663	-0.409756	0.356784	-0.398927	-0.339337
-0.877943	1.069008	-0.379659	0.374078	-0.455655	-0.413169
-0.812874	1.122444	-0.35012	0.38931	-0.51954	-0.490641
-0.747122	1.173261	-0.317691	0.399509	-0.590385	-0.555771
-0.67423	1.222623	-0.284845	0.405806	-0.658946	-0.601999
-0.592072	1.270069	-0.241788	0.410234	-0.717535	-0.637201
-0.504207	1.315223	-0.171071	0.413375	-0.768488	-0.673887
-0.417141	1.357811	-0.072399	0.416165	-0.819671	-0.718355
-0.336848	1.397611	0.026629	0.419675	-0.873825	-0.770633
-0.262491	1.434462	0.091999	0.421178	-0.926735	-0.824992
-0.186558	1.467376	0.120472	0.412788	-0.972773	-0.870654
-0.103346	1.495717	0.147177	0.387497	-1.008474	-0.898365
-0.015072	1.520881	0.20646	0.347446	-1.034618	-0.909463
0.07161	1.543946	0.292635	0.302711	-1.056799	-0.917807
0.153184	1.564082	0.367522	0.260922	-1.080888	-0.936496
0.230468	1.580606	0.404006	0.222881	-1.106981	-0.962192
0.304451	1.593668	0.411998	0.185575	-1.129356	-0.980573
0.374003	1.603126	0.420108	0.143777	-1.14376	-0.986165
0.438644	1.60845	0.44566	0.094142	-1.152829	-0.987311
0.5007	1.609197	0.482321	0.038841	-1.160404	-0.99469
0.561167	1.605104	0.511344	-0.017916	-1.163927	-1.012088
0.618292	1.596847	0.52876	-0.071704	-1.158287	-1.034771
0.672573	1.586442	0.549514	-0.119307	-1.143456	-1.055348
